"","IDy","ID_Parcelle","type_prod","Autres outils","Charrue","Outil à dents","Outil à disques","Outil rotatif","Pas de travail du sol","nb_tot_trav_sol","Fertilisation (autre)","Fertilisation minérale","Fertilisation organique","Fertilisation organo-minérale","Pas de fertilisation","nb_tot_ferti","tot_azote","Désherbage complet","Désherbage partiel","Désherbage sélectif","Enherbement total","Information inconnue.x","Pas de désherbage","nb_tot_herb","N_trait","N_trait_k","N_missing","IFT_herbi","IFT_insec","IFT_fongi","IFT_tot","IFT_tot2","Animaux de pâture","Autres (non chimiques)","Broyage ou tonte sans ramassage","Fauchage avec exportation des fauches","Fauchage sans exportation des fauches","Herbicide non sélectif de contact","Herbicide non sélectif systémique","Herbicide sélectif antidicotylédones","Herbicide sélectif antigraminées","Information inconnue.y","Intervention chimique (indéfini)","Intervention mécanique (indéfini)","Pas d'intervention","Tonte avec ramassage","nb_tot_int","nb_int_non_ch","nb_int_chim"
"51","106_2014",106,"Conventionnel",0,1,0,0,0,0,1,0,4,0,0,0,4,121,0,0,2,0,0,0,2,18,18,0,0,3.6,2.25,7.05,5.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","106_2015",106,"Conventionnel",0,0,1,0,0,0,1,0,4,0,0,0,4,147,NA,NA,NA,NA,NA,NA,NA,19,17,2,4.5,0,3.45338345864662,7.95338345864662,7.95338345864662,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"53","106_2016",106,"Conventionnel",0,1,1,0,2,0,4,0,0,0,0,1,0,0,1,0,1,0,0,0,2,2,2,0,0,0,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","106_2017",106,"Conventionnel",1,1,1,0,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,14,5,6.2,0,0,6.2,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","107_2012",107,"Conventionnel",0,1,0,0,2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","107_2013",107,"Conventionnel",0,1,0,0,1,0,2,0,3,0,0,0,3,163,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"57","107_2014",107,"Conventionnel",0,1,0,0,0,0,1,0,1,1,0,0,2,145,NA,NA,NA,NA,NA,NA,NA,19,19,0,4.77,0,6.5,12.87,11.27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"58","107_2015",107,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,0,3,0,0,0,3,152,0,0,1,0,0,0,1,5,5,0,0,2.66666666666667,0.5,3.16666666666667,3.16666666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"59","107_2016",107,"Conventionnel",0,1,0,0,1,0,2,0,1,1,0,0,2,55,0,0,2,0,0,0,2,10,10,0,2.25,0,3,6.85,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","107_2017",107,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","108_2012",108,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","108_2013",108,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,2,40,0,4,0,0,0,0,4,36,36,0,0,0,29.7933333333333,29.7933333333333,29.7933333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","108_2014",108,"Conventionnel",5,0,0,0,0,0,5,1,0,0,1,0,2,40,0,7,0,0,0,0,7,44,0,44,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0
"64","108_2015",108,"Conventionnel",5,0,0,0,0,0,5,0,0,0,1,0,1,40,0,10,0,0,0,0,10,46,0,46,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","108_2016",108,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,2,0,0,10,0,0,0,0,10,85,0,85,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","108_2017",108,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,2,70,7,2,0,0,0,0,9,90,83,7,0,0,44.370253164557,44.370253164557,44.370253164557,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0
"67","109_2012",109,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","109_2013",109,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,50,0,15,0,0,0,0,15,8,8,0,0,0,0.58,0.58,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","109_2014",109,"Conventionnel",6,0,0,1,0,0,7,1,0,0,0,0,1,40,0,6,0,0,0,0,6,36,36,0,0,3,21.420562248996,24.420562248996,24.420562248996,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0
"70","109_2015",109,"Conventionnel",4,0,2,0,0,0,6,0,0,1,0,0,1,40,0,10,0,0,0,0,10,32,32,0,0,3,17.84,20.84,20.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","109_2016",109,"Conventionnel",4,1,1,3,0,0,9,0,0,0,0,1,0,0,0,10,0,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,7,0
"72","109_2017",109,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,50,0,9,0,0,0,0,9,40,39,1,0,0,23.5666666666667,23.5666666666667,23.5666666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"73","11_2012",11,"Biologique",0,1,1,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"74","11_2013",11,"Biologique",0,0,1,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"75","11_2014",11,"Biologique",0,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"76","11_2015",11,"Biologique",0,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"77","11_2016",11,"Biologique",0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0
